provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,1900000.0,466355.0,11226
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,1900000.0,529945.0,11226
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,1900000.0,996300.0,11226
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,1900000.0,466355.0,11226
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,1900000.0,529945.0,11226
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,1900000.0,996300.0,11226
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,2118500.0,548853.0,13627
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,2118500.0,559492.0,13627
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,2118500.0,1108346.0,13627
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,2118500.0,548853.0,13627
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,2118500.0,559492.0,13627
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,2118500.0,1108346.0,13627
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,1900000.0,395136.0,11226
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,1900000.0,260183.0,11226
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,1900000.0,655319.0,11226
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,1900000.0,395136.0,11226
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,1900000.0,260183.0,11226
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,1900000.0,655319.0,11226
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,2118500.0,412251.0,13627
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,2118500.0,272829.0,13627
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,2118500.0,685080.0,13627
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,2118500.0,412251.0,13627
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,2118500.0,272829.0,13627
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,2118500.0,685080.0,13627
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,1900000.0,415354.0,11226
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,1900000.0,336764.0,11226
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,1900000.0,752118.0,11226
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,1900000.0,415354.0,11226
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,1900000.0,336764.0,11226
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,1900000.0,752118.0,11226
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,2118500.0,451952.0,13627
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,2118500.0,356142.0,13627
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,2118500.0,808094.0,13627
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,2118500.0,451952.0,13627
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,2118500.0,356142.0,13627
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,2118500.0,808094.0,13627
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,2500000.0,610732.0,14809
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,2500000.0,576134.0,14809
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,2500000.0,1186867.0,14809
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,2500000.0,610732.0,14809
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,2500000.0,576134.0,14809
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,2500000.0,1186867.0,14809
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,2700000.0,637432.0,13814
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,2700000.0,633864.0,13814
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,2700000.0,1271297.0,13814
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,2700000.0,637432.0,13814
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,2700000.0,633864.0,13814
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,2700000.0,1271297.0,13814
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,2500000.0,494150.0,14809
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,2500000.0,287004.0,14809
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,2500000.0,781155.0,14809
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,2500000.0,494150.0,14809
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,2500000.0,287004.0,14809
